no,judul,deskripsi,asal_daerah,link,gambar
60,Pakaian Islami,"Pakaian Islami adalah pakaian yang diartikan sesuai dengan ajaran Islam. Umat Muslim memakai beragam jenis pakaian, yang dipengaruhi tidak hanya oleh pertimbangan agama, tetapi juga oleh faktor praktis, budaya, sosial, dan politik. Di masa modern, beberapa Muslim mengadopsi pakaian berdasarkan tradisi Barat, sementara yang lain mengenakan bentuk modern dari pakaian tradisional Muslim, yang selama berabad-abad biasanya berupa pakaian panjang dan longgar. Selain keuntungan praktisnya di iklim Timur Tengah, pakaian longgar juga umumnya dianggap sesuai dengan ajaran Islam, yang menetapkan bahwa area tubuh yang bersifat seksual harus disembunyikan dari pandangan umum. Pakaian tradisional untuk pria Muslim biasanya menutupi setidaknya kepala dan area antara pinggang dan lutut, sementara pakaian Islami untuk wanita harus menutupi rambut dan tubuh dari pergelangan kaki hingga leher. Beberapa wanita Muslim juga menutupi wajah mereka. Namun, Muslim lain percaya bahwa Quran secara ketat memerintahkan bahwa wanita harus mengenakan hijab atau burqa. Pakaian tradisional dipengaruhi oleh dua sumber, yaitu Quran dan hadis. Quran memberikan prinsip-prinsip panduan yang diyakini berasal dari Allah, sementara kumpulan hadis menggambarkan model peran manusia yang dikaitkan dengan nabi Islam Muhammad. Cabang industri fashion yang dipengaruhi oleh prinsip-prinsip Islam dikenal sebagai fashion Islami.",Indonesia,https://id.wikipedia.org/wiki/Pakaian_Islami,https://upload.wikimedia.org/wikipedia/commons/a/aa/%D9%86%D9%82%D8%B4_%D8%AC%D9%87%D8%A7%D9%86%DB%B1.jpg
61,Pakaian Jepang,"Pakaian yang dikenakan di Jepang terdiri dari dua jenis: pakaian tradisional yang dikenal sebagai pakaian Jepang (和服code: ja is deprecated , wafuku), termasuk pakaian nasional Jepang, kimono, dan pakaian Barat (洋服code: ja is deprecated , yōfuku), yang mencakup semua pakaian yang tidak diakui sebagai pakaian nasional atau pakaian negara lain.",Indonesia,https://id.wikipedia.org/wiki/Pakaian_Jepang,https://upload.wikimedia.org/wikipedia/commons/e/e7/Man-and-lady-kimono.JPG
62,Pakaian Viet,"Pakaian Viet (bahasa Vietnam: Việt phục, Chữ Hán: 越服) adalah semua pakaian tradisional yang dikenakan oleh orang Viet, misal pakaian áo dài. Pakaian Viet bercampur baur dengan unsur dari kebudayaan lain karena pertukaran budaya di sana. Hal ini melahirkan ciri khas pakaian tersendiri bagi orang Viet. Orang Viet dalam kehidupan sehari-hari hanya memakai pakaian Barat yang sederhana.",Indonesia,https://id.wikipedia.org/wiki/Pakaian_Viet,https://upload.wikimedia.org/wikipedia/commons/6/62/Rio_m%C3%A3_ch%C3%A2u_%C3%A1o_t%E1%BA%A5c.jpg
63,Pakaian dalam,"Pakaian dalam adalah pakaian yang dikenakan di bawah pakaian lainnya, sering kali langsung bersentuhan dengan kulit. Dipakai agar pakaian luar tidak dikotori oleh keringat, urine, cairan vagina, air mani, tinja, dan lainnya; melindungi tubuh dari kelembapan yang menyebabkan bakteri atau jamur hinggap; membentuk tubuh agar terlihat fit; dan memberikan bentuk lekukan pada bagian-bagian tertentu. Dalam cuaca dingin, pakaian dalam panjang kadang-kadang dipakai untuk memberikan kehangatan tambahan. Beberapa dimaksudkan untuk memberikan efek erotis. Beberapa jenis khusus memiliki makna keagamaan. Beberapa dirancang sebagai pakaian dalam, sementara yang lain, seperti kaus oblong dan beberapa jenis celana pendek, sesuai baik sebagai pakaian dalam dan sebagai pakaian luar. Jika terbuat dari bahan yang cocok, beberapa pakaian dalam dapat berfungsi sebagai pakaian tidur atau pakaian renang. Pakaian dalam yang biasa dikenakan oleh kedua jenis kelamin termasuk kaus oblong, baju tanpa lengan (juga disebut singlet), bikini, thong, dan G-string.",Nusa Tenggara Timur,https://id.wikipedia.org/wiki/Pakaian_dalam,https://upload.wikimedia.org/wikipedia/commons/8/89/Knickers1.jpg
64,Pakaian nasional Arab Saudi,"Pakaian nasional resmi di Arab Saudi adalah thawb untuk pria, dan abaya untuk wanita. Aturan berpakaian di Arab Saudi menganjurkan warga negaranya untuk mengenakan pakaian nasional resmi Saudi saat mengunjungi kantor dan lembaga pemerintah.",Indonesia,https://id.wikipedia.org/wiki/Pakaian_nasional_Arab_Saudi,https://upload.wikimedia.org/wikipedia/commons/0/09/%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87_%D8%A8%D9%86_%D9%85%D8%B3%D8%A7%D8%B9%D8%AF_%D8%A8%D9%86_%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2_%D8%A2%D9%84_%D8%B3%D8%B9%D9%88%D8%AF.jpeg
65,Pakaian pelaut,"Pakaian pelaut (atau setelan pelaut) merupakan seragam tradisional yang dikenakan oleh tamtama pelaut di angkatan laut, dan pelayan laut lainnya yang didanai oleh pemerintah. Pakaian itu kemudian dikembangkan menjadi gaya pakaian untuk anak-anak, terutama sebagai pakaian.",Bangka Belitung,https://id.wikipedia.org/wiki/Pakaian_pelaut,
66,Pakaian pengantin Betawi,"Pakaian pengantin Betawi adalah busana pengantin beserta tata cara mengenakan baju adat yang berasal dari DKI Jakarta. Pakaian adat Betawi yang dikenakan para pengantin merupakan hasil perpaduan antara budaya Tionghoa, Arab, dan Barat. Oleh karena itu, pakaian pengantin ini memiliki nama yang unik, yaitu Dandanan Care Haji bagi pakaian pengantin pria Betawi dan Dandanan Care None Pengantin Cine untuk pengantin wanita Betawi.",DKI Jakarta,https://id.wikipedia.org/wiki/Pakaian_pengantin_Betawi,https://upload.wikimedia.org/wikipedia/commons/b/b3/Betawi_Bride_and_Groom_Dolls_20240622_115930.jpg
67,Paluwala,"Paluwala merupakan pakaian tradisional pria dari suku Gorontalo, Pulau Sulawesi, Indonesia. Paluwala merupakan salah satu pakaian adat Gorontalo yang wajib digunakan dalam upacara pernikahan. Paluwala wajib digunakan oleh mempelai laki-laki dalam acara resepsi pernikahan atau pada acara kebesaran yang penting dan sakral. Paluwala kemudian ditetapkan oleh Kementerian Pendidikan dan Kebudayaan sebagai Warisan Budaya Takbenda Indonesia pada tahun 2012.",Gorontalo,https://id.wikipedia.org/wiki/Paluwala,https://upload.wikimedia.org/wikipedia/commons/0/0d/Pakaian_Paluwala_adat_Gorontalo.png
68,Pangsi,"Pangsi (aksara Sunda: ᮕᮀᮞᮤ) adalah salah satu pakaian adat Sunda. Pangsi merupakan setelan pakaian berupa baju kemeja polos yang agak longgar serta celana yang juga longgar dan panjangnya tidak melebihi mata kaki. Pakaian ini umumnya dipakai oleh laki-laki dan merupakan pakaian khas dari beberapa suku di Indonesia, terutama Betawi dan Sunda. Dalam kultur Betawi, pangsi digunakan oleh jawara atau pemuka masyarakat. Sementara dalam kultur Sunda, Pangsi merupakan pakaian bagi laki-laki yang termasuk ke dalam kelompok atau golongan rakyat biasa. Adapun suku bangsa lain di Indonesia yang juga menggunakan pangsi adalah Suku Melayu. Pangsi pada awalnya hanya merujuk kepada celana longgar, sehingga sering disebut celana Pangsi. Seiring berjalannya waktu Pangsi merujuk terhadap setiap setelan pakaian yang memakai celana Pangsi sebagai bawahan, sehingga baju yang dipakai pun ikut disebut sebagai baju Pangsi meskipun baju tersebut memiliki nama sendiri.",DKI Jakarta,https://id.wikipedia.org/wiki/Pangsi,
69,Payunga,"Payunga (disebut juga Payunga Tilabatayila) merupakan pakaian tradisional pria dari suku Gorontalo, Pulau Sulawesi, Indonesia. Payunga merupakan salah satu pakaian adat Gorontalo yang masih dilestarikan penggunaanya karena wajib digunakan dalam beberapa rangkaian upacara adat bagi laki-laki Gorontalo. Pada tahun 2014, Payunga ditetapkan oleh Kementerian Pendidikan dan Kebudayaan sebagai Warisan Budaya Takbenda Indonesia",Gorontalo,https://id.wikipedia.org/wiki/Payunga,https://upload.wikimedia.org/wikipedia/commons/9/9e/Pakaian_adat_Payunga.png
70,Pokko',"Pokko' adalah baju adat suku Toraja. Baju ini digunakan masyarakat Toraja yang disesuaikan dengan kasta dan usia. Baju adat bagi anak perempuan biasanya memiliki ciri yang lebih sederhana dan warna yang terang. Sementara, anak perempuan remaja dan perempuan dewasa mengenakan pakaian berwarna merah, kuning dan putih yang dilengkapi dengan berbagai aksesoris.",Sulawesi Selatan,https://id.wikipedia.org/wiki/Pokko%27,
71,Rok upacara wanita Sumba (Museum Kesenian Indianapolis),"Rok upacara wanita Sumba yang dibuat pada awal abad kedua puluh dari pulau Sumba, Indonesia merupakan bagian dari koleksi tekstil di Museum Kesenian Indianapolis, di Indianapolis, Indiana, Amerika Serikat. Juga dikenal sebagai lau hada, rok tersebut biasanya dipakai sebagai hadiah perkawinan bagi seorang wanita Sumba dengan status sosial yang tinggi, karena terbuat dari katun impor yang ditenun dengan mesin, manik-manik perdagangan kaca, dan cangkang nassa, yang pernah digunakan sebagai mata uang.",Nusa Tenggara Timur,https://id.wikipedia.org/wiki/Rok_upacara_wanita_Sumba_(Museum_Kesenian_Indianapolis),https://upload.wikimedia.org/wikipedia/commons/d/d7/Indonesian_woman%27s_ceremonial_skirt.jpg
72,Sabbe,"Sabbe (dari bahasa Bugis–Makassar; Lontara: ᨔᨅᨙ) adalah sebuah tradisi pertenunan yang berasal dari pulau Sulawesi wilayah selatan. Tenunan Sabbe biasanya berbahan dasar sutra (yang dihasilkan dari pengolahan kepompong ngengat sutra endemik Sulawesi (Antheraea celebensis)) dan memiliki motif khas yang merepresentasikan nilai kebudayaan tertentu. Pusat produksi pertenunan Sabbe umumnya dapat dijumpai di beberapa daerah di Sulawesi Selatan, contohnya seperti di Bone, Sengkang, Soppeng, dan Wajo. Dalam sejarah perkembangannya, tradisi pertenunan Sabbe juga disebarkan oleh etnis Bugis maupun Makassar hingga ke wilayah Kepulauan Kangean di utara Laut Bali, yang mana kemudian berasimilasi dalam kebudayaan masyarakat setempat (etnis Kangean). Sejak tahun 2016, tradisi pertenunan Sabbe secara resmi diakui sebagai salah satu Warisan Budaya Takbenda khas Indonesia dalam bidang Keterampilan dan Kemahiran Kerajinan Tradisional yang berasal dari Sulawesi Selatan.",Bali,https://id.wikipedia.org/wiki/Sabbe,
73,Saluak,"Saluak adalah tutup kepala laki-laki yang terutama terdapat pada pakaian penghulu di Minangkabau. Tutup kepala ini terbuat dari kain songket atau kain batik berbahan katun dengan warna dasar cokelat atau merah, bergantung pada warna pakaian yang digunakan. Saluak dipasang ke kepala dengan memiringkannya ke kiri. Ciri khas tutup kepala ini terletak pada kerutan atau lipatan yang membentuk jenjang, pada umumnya berjumlah lima, tapi ada pula sampai tiga belas kerutan. Saluak merupakan salah satu kelengkapan seorang penghulu dalam upacara adat di Minangkabau, seperti batagak pangulu. Bagi penghulu, kerutan atau lipatan pada saluak melambangkan banyak undang-undang yang harus dipatuhi oleh seorang penghulu. Selain dipakai oleh penghulu, tutup kepala ini dipakai oleh pengantin laki-laki pada waktu upacara pernikahan.",Sumatera Barat,https://id.wikipedia.org/wiki/Saluak,https://upload.wikimedia.org/wikipedia/commons/9/93/Minangkabau_wedding_2.jpg
74,Sarung,"Sarung merupakan sepotong kain lebar yang dijahit pada kedua ujungnya sehingga berbentuk seperti pipa/tabung. Ini adalah arti dasar dari sarung yang berlaku di Indonesia atau tempat-tempat sekawasan. Dalam pengertian busana internasional, sarung (sarong) berarti sepotong kain lebar yang pemakaiannya dibebatkan pada pinggang untuk menutup bagian bawah tubuh (pinggang ke bawah). Kain sarung dibuat dari bermacam-macam bahan: katun, poliester, atau sutera. Penggunaan sarung sangat luas, untuk santai di rumah hingga pada penggunaan resmi seperti ibadah atau upacara perkawinan. Pada umumnya penggunaan kain sarung pada acara resmi terkait sebagai pelengkap baju daerah tertentu.",Indonesia,https://id.wikipedia.org/wiki/Sarung,https://upload.wikimedia.org/wikipedia/commons/9/95/Jungle_trails_and_jungle_people_-_travel%2C_adventure_and_abservation_in_the_Far_East_%281905%29_%2814593378878%29.jpg
75,Sarung Samarinda,"Sarung Samarinda atau Tajong Samarinda adalah jenis kain tenunan tradisional yang bisa didapatkan di Kota Samarinda, Kalimantan Timur. Sarung ini ditenun dengan menggunakan Alat Tenun Bukan Mesin (ATBM) yang disebut Gedokan. Produk yang dihasilkan untuk satu buah sarung memakan waktu 15 hari. Ciri khas Sarung Samarinda adalah bahan bakunya yang menggunakan sutera yang khusus didatangkan dari Cina. Sebelum ditenun, bahan baku sutera masih harus menjalani beberapa proses agar kuat saat dipintal. Sehelai sarung yang dihasilkan perajin biasanya memiliki lebar 80 centimeter dan panjang 2 meter. Dengan ukuran sarung sebesar itu pasti ada jahitan sambungan di bagian tengahnya yang dibuat dengan menggunakan tangan. Sarung asli tidak pernah disambung dengan menggunakan mesin jahit. Inilah salah satu cara untuk membedakan kain yang asli dari yang palsu atau buatan mesin pabrik.",Kalimantan Timur,https://id.wikipedia.org/wiki/Sarung_Samarinda,https://upload.wikimedia.org/wikipedia/commons/4/49/Samarinda_Sarong.jpg
76,Sarung muna,"Sarung Muna adalah sarung tradisional yang dibuat oleh masyarakat Muna di Sulawesi Tenggara. Pada abad ke-18 Masehi, Sarung Muna digunakan sebagai pakaian bela diri Kerajaan Muna. Sarung Muna dibuat melalui dua proses, yaitu proses menyusun benang yang disebut Hani/Kasoro dan proses menenun untuk meentukan motif pada kain yang dibuat. Pewarnanya menggunakan bahan alami dan benangnya terbuat dari sutra dan kapas. Sarung Muna memiliki 15 motif yang beragam.",Sulawesi Tenggara,https://id.wikipedia.org/wiki/Sarung_muna,https://upload.wikimedia.org/wikipedia/id/0/00/Sarung_Muna.JPG
77,Sarut,"Sarut atau Ulap Sarut adalah seni menjahit di atas kain dengan motif khas Dayak Benuaq dengan merangkai benang menjadi sebuah kain dengan motif tertentu. Dahulu, benang yang digunakan berasal dari serat daun nanas. Biasanya motif yang dijahit bercorak meriah dan warna-warni. Sarut adalah salah satu seni wastra yang dimiliki oleh Suku Dayak Benuaq di Kabupaten Kutai Barat, Kalimantan Timur, selain tenun ulap doyo, tenun badong, dan sulam tumpar. Sentra kerajinan Sarut berpusat di Kecamatan Damai. Dalam mengerjakan sarut, motif yang digunakan tidak memakai pola tertentu, melainkan pola murni dari imajinasi sang perajin. Pada masa lampau, motif Sarut tidak dapat disampaikan maknanya dan menjadi simbol rahasia dan dianggap tabu sehingga orang-orang tertentu saja yang memahami. Dalam rangka mengenalkan kerajinan Sarut, sebuah even kebudayaan bernama Festival Sarut Kiai Panei Penguntei Lawei telah digelar sebanyak dua kali, yakni pada tahun 2022 dan 2023.",Kalimantan Timur,https://id.wikipedia.org/wiki/Sarut,
78,Sasirangan,"Sasirangan adalah kain tradisional yang berasal dari Kalimantan Selatan yang telah ditetapkan oleh Kementrian Pendidikan dan Kebudayaan sebagai salah satu dari 33 kain tradisional warisan budaya tak benda di Indonesia. Sasirangan berasal dari kata sirang atau manyirang yang dalam bahasa banjar berarti menjelujur atau teknik menjahit menggunakan tangan. Motifnya dibuat dengan jahitan dengan teknik jelujur. Awalnya, kain sasirangan diyakini dapat mengobati penyakit dan mengusir roh jahat sehingga pembuatannya dibatasi. Namun sekarang, produksi kain sasirangan sudah diperluas dalam berbagai kebutuhan, salah satunya adalah kebutuhan penampilan. Secara umum, pembuatannya masih menggunakan cara tradisional. Sejak tahun 2010, tradisi Sasirangan secara resmi diakui sebagai salah satu Warisan Budaya tak benda khas Indonesia dalam bidang Keterampilan dan Kemahiran Kerajinan Tradisional yang berasal dari Kalimantan Selatan.",Kalimantan Selatan,https://id.wikipedia.org/wiki/Sasirangan,https://upload.wikimedia.org/wikipedia/commons/a/a7/Kain_Sasirangan.jpg
79,Sejarah batik di Indonesia,"Sejarah Batik Indonesia terkait erat dengan perkembangan Kerajaan Majapahit dan penyebaran ajaran Islam di Pulau Jawa. Dalam beberapa catatan, pengembangan batik banyak dilakukan pada zaman Kesultanan Mataram, lalu berlanjut pada zaman Kasunanan Surakarta dan Kesultanan Yogyakarta. Keberadaan kegiatan Batik tertua berasal dari Raja yang masih bernama Wengker sebelum abad ke 7, Kerajaan di Jawa Tengah belajar batik dari Ponorogo. Karena itu, batik-batik Ponorogo agak mirip dengan batik yang beredar di Jawa Tengah, hanya saja batik ponorogo batik yang dihasilkan rata-rata berwarna hitam pekat atau biasa disebut batik irengan karena yang dekat dengan unsur-unsur magis, sehinggga dikembangkan oleh kerajaan - kerajaan di Jawa Tengah. Di kerajaan Majapahit, Bangsawan Wengker menempati keraton ri Wengker dekat istana Wilwatikta Majapahit, Sehingga pengaruh batik Wengker dikembangkan pula oleh Kerajaan. Pada abad 15 di desa Mirah, Joko Lancur anak dari lurah Golan memasuki rumah lurah Mirah ketika mencari Ayam Jagonya, terlihat Dewi Amirah sedang membatik. eksistensi Batik Ponorogo hingga abad 20 merupakan surga bagi para pembatik, karena produksi batik di Ponorogo melampaui industri batik di Jawa Tengah maupun Yogyakarta yang kemudian diambil oleh pengepul batik dari Surakarta, Yogyakarta dan Pekalongan, selain itu upah pembatik di Ponorogo tertinggi di Pulau Jawa. Kesenian batik di Indonesia telah dikenal sejak zaman Kerajaan Majapahit dan terus berkembang sampai kerajaan berikutnya beserta raja-rajanya. Kesenian batik secara umum meluas di Indonesia dan secara khusus di pulau Jawa setelah akhir abad ke-18 atau awal abad ke-19. Teknik batik sendiri telah diketahui lebih dari 1.000 tahun, kemungkinan berasal dari Mesir kuno atau Sumeria. Teknik batik meluas di beberapa negara di Afrika Barat seperti Nigeria, Kamerun, dan Mali, serta di Asia, seperti India, Sri Lanka, Bangladesh, Iran, Thailand, Malaysia dan Indonesia. Hingga awal abad ke-20, batik yang dihasilkan merupakan",Bangka Belitung,https://id.wikipedia.org/wiki/Sejarah_batik_di_Indonesia,
80,Sembagi,"Sembagi (ꦱꦼꦩ꧀ꦧꦒꦶ) atau Sembagen (ꦱꦼꦩ꧀ꦧꦒꦺꦤ꧀) adalah sebuah tradisi batik dan pertenunan khas etnis Cirebon dan Jawa yang berasal dari pulau Jawa, lebih tepatnya dari ketiga provinsi Jawa Barat (Cirebon), Jawa Tengah (Rembang dan Surakarta), maupun Yogyakarta di Indonesia. Dalam sejarah perkembangannya, tradisi batik dan tenun Sembagi di Jawa Barat yang dipopulerkan oleh etnis Cirebon turut disebarkan oleh etnis Lampung Cikoneng hingga ke wilayah Sumatra bagian selatan (Lampung), yang mana kemudian berasimilasi dalam kebudayaan wastra khas Lampung.",Lampung,https://id.wikipedia.org/wiki/Sembagi,https://upload.wikimedia.org/wikipedia/commons/6/62/Sembagen_Hook%2C_KITLV_37A241.tiff
81,Seppa Tallung,"Seppa Tallung adalah baju adat suku Toraja. Baju ini biasanya dipakai saat acara adat di Toraja Sulawesi Selatan pakaian adat ini khusus dibuat untuk laki-laki suku Toraja. Pakaian ini terdiri atas satu set baju dan celana pendek selutut. Baju ini memiliki motif polos atau bermotif sesuai dengan kain tenun Toraja yang digunakan. Memiliki penampakkan yang lebih mencolok dengan warna cerah seperti merah, kuning dan putih. Dalam penggunaannya, Seppa Tallu dipakai dengan beberapa aksesoris lengkap seperti selendang kain, gayang, ikat kepala dan kalung.",Nusa Tenggara Timur,https://id.wikipedia.org/wiki/Seppa_Tallung,
82,Songket,"Songket atau sungkit adalah jenis tenun tradisional Indonesia yang berasal dari Sumatra. Songket digolongkan dalam keluarga tenunan brokat. Songket ditenun dengan tangan menggunakan benang emas dan perak. Benang logam metalik yang tertenun berlatar kain menimbulkan efek kemilau cemerlang. Bahan kain yang umum digunakan dalam pembuatan Songket yakni meliputi sutra, katun, dan katun sutra. Songket kerap dikaitkan dengan Kemaharajaan Sriwijaya sebagai asal mula tradisi songket berasal, beberapa jenis Songket yang populer pun tak lepas dari lokasi-lokasi yang pernah berada dibawah kekuasaan Sriwijaya, salah satu lokasi dominan yang juga diyakini sebagai ibukota Kemaharajaan Sriwijaya di masa lampau yakni Palembang, yang terletak di Sumatera Selatan. Selain Palembang, beberapa daerah di Sumatra juga menjadi lokasi penghasil Songket terbaik dalam kelasnya, yakni meliputi daerah-daerah di Minangkabau atau Sumatera Barat seperti Pandai Sikek, Silungkang, Koto Gadang, dan Padang. Di luar Sumatra, kain songket juga dihasilkan oleh daerah-daerah seperti Bali, Lombok, Sambas, Sumba, Makassar, Sulawesi, dan daerah-daerah lain di Indonesia. Karena faktor sejarah kekuasaan Kemaharajaan Sriwijaya, perdagangan, dan perkawinan campuran, Songket pun juga menjadi populer di Kawasan Maritim Asia Tenggara khususnya di negara-negara sekitar Indonesia seperti Brunei, Malaysia, dan Singapura. Pada 2021, Songket telah diakui sebagai milik Malaysia oleh Warisan Budaya Tak Benda UNESCO. Tradisi Songket diakui sebagai Warisan Budaya Takbenda oleh Kementerian Pendidikan dan Kebudayaan. Tradisi Songket tersebut meliputi tradisi Songket asal Palembang dan Sambas pada 2013; Songket Pandai Sikek pada 2014; tradisi Songket asal Beratan, Bali pada 2018; dan tradisi Songket Silungkang pada 2019.",Sumatera Barat,https://id.wikipedia.org/wiki/Songket,https://upload.wikimedia.org/wikipedia/commons/c/c1/Bamboofabric.png
83,Songket Minangkabau,"Songket Minangkabau adalah kain tenun tradisional jenis songket yang berasal dari Minangkabau. Songket telah menjadi identitas budaya dalam tradisi Minangkabau. Kain songket digunakan sebagai bahan pakaian maupun bahan pembuatan kerajinan tangan lainnya. Terdapat beragam jenis motif serta filosofi dalam setiap motifnya dan telah diwarisi secara turun temurun hingga terpakai dalam acara adat. Dahulu ada banyak sentra songket Minangkabau di Sumatera Barat. Di antara sentra songket yang terkenal yaitu Pandai Sikek, Silungkang, dan Kubang. Songket Minangkabau sudah pernah menjadi tema gambar pada uang kertas rupiah emisi 2011, yaitu gambar penenun songket Pandai Sikek.",Sumatera Barat,https://id.wikipedia.org/wiki/Songket_Minangkabau,https://upload.wikimedia.org/wikipedia/commons/1/10/Tenunan_songket_khas_Minangkabau.jpg
84,Songkok,"Songkok atau kopiah adalah penutup kepala yang terbuat dari kain beludru, dan umum dipakai di Indonesia, Brunei, Malaysia, Singapura, Filipina selatan, dan Thailand selatan. Songkok sering digunakan oleh Muslim, khususnya saat ibadah. Di Indonesia, songkok juga diasosiasikan dengan gerakan nasionalis.",Indonesia,https://id.wikipedia.org/wiki/Songkok,https://upload.wikimedia.org/wikipedia/commons/d/d6/Oemar_Said_Tjokroaminoto.jpg
85,Suku Siger,"Siger merupakan perhiasan kepala khas Indonesia (yang lazimnya dikenakan oleh wanita) yang umumnya dibuat dari bahan logam (emas, perak, tembaga, kuningan, dsb), berbentuk melekuk dan terkadang menyerupai fauna (terutama kerbau dan burung), dan terkadang dihiasi dengan batu permata.",Indonesia,https://id.wikipedia.org/wiki/Suku_Siger,
86,Surjan,"Surjan (bahasa Jawa: ꦱꦸꦂꦗꦤ꧀) adalah busana atas resmi adat Jawa untuk pria yang merupakan hasil karya Sunan Kalijaga. Bahan dasar surjan terutama adalah kain tenun Lurik, meskipun dapat pula bahan bermotif bunga ataupun kain berwarna polos. Sunan Kalijaga beranggapan terjadinya ketimpangan sosial pada masyarakat Majapahit karena kasta bawah tidak mengenakan pakaian atasan sehingga dibuatlah atasan yang juga untuk menutup aurat. Menurut Kamus Besar Bahasa Indonesia, kata ""Surjan"" berarti baju jas laki-laki khas Jawa berkerah tegak; berlengan panjang, terbuat dari bahan lurik atau cita berkembang.",Indonesia,https://id.wikipedia.org/wiki/Surjan,https://upload.wikimedia.org/wikipedia/commons/6/61/Pakaian_Budaya_Indonesia_Batik_Dan_Sunan_Kali_Jaga.jpg
87,Takowa,"Takowa adalah salah satu pakaian adat Gorontalo yang digunakan oleh laki-laki suku Gorontalo di Pulau Sulawesi, Indonesia. Takowa sering kali digunakan masyarakat Gorontalo dalam berbagai upacara adat maupun acara resmi dalam agenda pemerintahan maupun sebagai pakaian adat dalam merayakan hari besar keagamaan. Pada tahun 2019, Takowa ditetapkan oleh Kementerian Pendidikan dan Kebudayaan sebagai Warisan Budaya Takbenda Indonesia.",Gorontalo,https://id.wikipedia.org/wiki/Takowa,https://upload.wikimedia.org/wikipedia/commons/1/17/Pakaian_Takowa_Da%27a.png
88,Tali Bonto,"Tali bonto adalah ikat kepala wanita Suku Bare'e yang berasal dari Kabupaten Tojo Una-una, Sulawesi Tengah. Tali Bonto terbuat hanya dari teras bambu yang dibungkus dengan kain Merah dengan lebar minimal 3 jari dan dihias dengan manik-manik tanpa menggunakan bahan tali. Tali Bonto sudah menjadi ciri khas wanita Suku Bare'e, dan Tali Bonto biasanya dipakai sehari-hari oleh wanita suku bare'e bersama dengan Inodo yaitu pakaian adat Suku Bare'e jika ke acara pesta adat dan budaya dan bekerja di ladang. Dan pakaian adat Suku Bare'e tersebut memakai ikat kepala kecil dari ruas bambu yang dilapisi kain yang dirajut atau disebut Tali Bonto.",Sulawesi Tengah,https://id.wikipedia.org/wiki/Tali_Bonto,https://upload.wikimedia.org/wikipedia/commons/6/6b/COLLECTIE_TROPENMUSEUM_Hoofdband_met_kralenversiering_TMnr_81-4.jpg
89,Tenun Nusa Tenggara Timur,"Tenun Nusa Tenggara Timur (atau disingkat Tenun NTT) adalah salah satu jenis proses menenun masyarakat Nusa Tenggara Timur. Tenun sendiri merupakan kegiatan membuat kain dengan cara memasukkan benang pakan secara horizontal pada benang-benang lungsin, biasanya telah diikat dahulu dan sudah dicelupkan ke pewarna alami. Pewarna alami tersebut biasanya dibuat dari akar-akar pohon dan ada pula yang menggunakan dedaunan.",Nusa Tenggara Timur,https://id.wikipedia.org/wiki/Tenun_Nusa_Tenggara_Timur,https://upload.wikimedia.org/wikipedia/commons/1/14/Aleta_Baun_stand-up_2.jpg
90,Tenun ikat,"Tenun ikat atau kain ikat adalah kriya tenun Indonesia berupa kain yang ditenun dari helaian benang pakan atau benang lungsin yang sebelumnya diikat dan dicelupkan ke dalam zat pewarna alami. Alat tenun yang dipakai adalah alat tenun bukan mesin. Kain ikat dapat dijahit untuk dijadikan pakaian dan perlengkapan busana, kain pelapis mebel, atau penghias interior rumah. Sebelum ditenun, helai-helai benang dibungkus (diikat) dengan tali plastik sesuai dengan corak atau pola hias yang diingini. Ketika dicelup, bagian benang yang diikat dengan tali plastik tidak akan terwarnai. Tenun ikat ganda dibuat dari menenun benang pakan dan benang lungsin yang keduanya sudah diberi motif melalui teknik pengikatan sebelum dicelup ke dalam pewarna. Teknik tenun ikat terdapat di berbagai daerah di Indonesia. Daerah-daerah di Indonesia yang terkenal dengan kain ikat di antaranya: Toraja, Mamuju, Luwu Utara, Kapuas Hulu, Sintang, Jepara, Bali, Lombok, Sumbawa, Sumba, Flores, Timor, dan Kepulauan Tanimbar. Kain gringsing dari Tenganan, Karangasem, Bali adalah satu-satunya kain di Indonesia yang dibuat dari teknik tenun ikat ganda (dobel ikat). Kain ikat dapat dibedakan dari kain songket berdasarkan jenis benang. Songket umumnya memakai benang emas atau perak. Motif kain songket hanya terlihat pada salah satu sisi kain, sedangkan motif kain ikat terlihat pada kedua sisi kain.",Bali,https://id.wikipedia.org/wiki/Tenun_ikat,https://upload.wikimedia.org/wikipedia/commons/0/05/Thread_before_dyeing_Tenun_Ikat_Lombok.JPG
